X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,urban
-73.9374899997057,41.7070560000014,90,POU,"Poughkeepsie, New York",Poughkeepsie,NY,36,YES
-89.216628000423,37.7242349997531,91,CDL,"Carbondale, Illinois",Carbondale,IL,17,YES
-90.3641059999156,40.9446780000142,92,GBB,"Galesburg, Illinois",Galesburg,IL,17,
-122.6865440003,45.6289009998437,93,VAN,"Vancouver, Washington, United States",Vancouver,WA,53,YES
-93.0853549999003,44.9476609998021,94,MSP,"St. Paul/Minneapolis, Minnesota",St. Paul-Minneapolis,MN,27,YES
-72.5929049999597,42.1059869998214,95,SPG,"Springfield, Massachusetts",Springfield,MA,25,YES
-123.092361000343,44.0550430001984,96,EUG,"Eugene, Oregon",Eugene,OR,41,YES
-73.7843289999698,40.9114509996941,97,NRO,"New Rochelle, New York",New Rochelle,NY,36,YES
-78.7822460002658,35.7882940002429,98,CYN,"Cary, North Carolina",Cary,NC,37,YES
-119.175978000446,34.1992410002722,99,OXN,"Oxnard, California",Oxnard,CA,06,YES
-73.1875390000642,41.1780059997923,100,BRP,"Bridgeport, Connecticut",Bridgeport,CT,09,YES
-79.1569339996697,37.4064389997794,101,LYH,"Lynchburg, Virginia",Lynchburg,VA,51,YES
-70.9587000004252,42.9810200001499,102,EXR,"Exeter, New Hampshire",Exeter,NH,33,YES
-84.3924769997929,33.799445000328,103,ATL,"Atlanta, Georgia",Atlanta,GA,13,YES
-75.7107750003224,40.0021929999704,104,DOW,"Downingtown, Pennsylvania",Downingtown,PA,42,YES
-87.9062999998136,42.7182920000525,105,SVT,"Sturtevant, Wisconsin",Sturtevant,WI,55,YES
-119.843091999718,34.4377290003119,106,GTA,"Goleta, California",Goleta,CA,06,YES
-106.647974999697,35.0820610001874,107,ABQ,"Albuquerque, New Mexico",Albuquerque,NM,35,YES
-118.448206000029,34.2112940000466,108,VNC,"Van Nuys (Amtrak), California",Van Nuys,CA,06,YES
-78.9062990003432,35.9973470001762,109,DNC,"Durham, North Carolina",Durham,NC,37,YES
-90.0591090002163,35.1324579997574,110,MEM,"Memphis, Tennessee",Memphis,TN,47,YES
-122.198146999806,37.7524989997045,111,OAC,"Coliseum/Oakland Airport, Oakland, California",Oakland - Coliseum Airport,CA,06,YES
-81.7238929999643,30.365600999981,112,JAX,"Jacksonville, Florida",Jacksonville,FL,12,YES
-119.812122999811,39.5285209997734,113,RNO,"Reno, Nevada",Reno,NV,32,YES
-75.2903989999785,40.0082779997903,114,ARD,"Ardmore, Pennsylvania",Ardmore,PA,42,YES
-76.7309429995715,40.1925689997633,115,MID,"Middletown, Pennsylvania",Middletown,PA,42,YES
-90.6709399995737,40.4612119998152,116,MAC,"Macomb, Illinois",Macomb,IL,17,
-83.2353109996428,42.3071669997036,117,DER,"Dearborn, Michigan",Dearborn,MI,26,YES
-84.4959619997503,42.718730999753,118,LNS,"East Lansing, Michigan",East Lansing,MI,26,YES
-119.299917999647,34.2769290000643,119,VEC,"Ventura, California",Ventura,CA,06,YES
-80.2577590000964,25.8495540003081,120,MIA,"Miami, Florida",Miami,FL,12,YES
-70.9360130003141,43.1393280003212,121,DHM,"Durham, New Hampshire",Durham,NH,33,YES
-122.794058999828,46.9912729998445,122,OLW,"Olympia/Lacey, Washington",Olympia-Lacey,WA,53,YES
-72.376818000023,41.3003900002174,123,OSB,"Old Saybrook, Connecticut",Old Saybrook,CT,09,YES
-79.9980019998268,32.8748659996569,124,CHS,"Charleston, South Carolina",Charleston,SC,45,YES
-118.599416999828,34.2532050003129,125,CWT,"Chatsworth, California",Chatsworth,CA,06,YES
-123.028331000303,44.932331000234,126,SLM,"Salem, Oregon",Salem,OR,41,YES
-118.353766999948,34.1930719996931,127,BUR,"Burbank (Airport), California",Burbank Bob Hope Airport,CA,06,YES
-90.1362759998027,38.9047230001806,128,ALN,"Alton, Illinois",Alton,IL,17,YES
-76.7085640003303,37.2764140000761,129,WBG,"Williamsburg, Virginia",Williamsburg,VA,51,YES
-75.2234339999872,43.1038920002986,130,UCA,"Utica, New York",Utica,NY,36,YES
-88.0787659998212,41.5252400002601,131,JOL,"Joliet, Illinois",Joliet,IL,17,YES
-77.9080290001115,35.7231349998964,132,WLN,"Wilson, North Carolina",Wilson,NC,37,
-77.4572029997195,38.2984130001821,133,FBG,"Fredericksburg, Virginia",Fredericksburg,VA,51,YES
-80.0621840002033,26.7125539996279,134,WPB,"West Palm Beach, Florida",West Palm Beach,FL,12,YES
-81.1482639996574,32.0834120001111,135,SAV,"Savannah, Georgia",Savannah,GA,13,YES
-87.8055620003844,42.0750380000266,136,GLN,"Glenview, Illinois",Glenview,IL,17,YES
-83.5417209998767,41.6383450002607,137,TOL,"Toledo, Ohio",Toledo,OH,39,YES
-90.4067610000972,38.5810669997627,138,KWD,"Kirkwood, Missouri",Kirkwood,MO,29,YES
-73.9428869997793,42.8146059997898,139,SDY,"Schenectady, New York",Schenectady,NY,36,YES
-114.335575000394,48.4134740001916,140,WFH,"Whitefish, Montana",Whitefish,MT,30,
-77.7978549999198,35.9380010001234,141,RMT,"Rocky Mount, North Carolina",Rocky Mount,NC,37,YES
-78.8847880000419,35.054993000315,142,FAY,"Fayetteville, North Carolina",Fayetteville,NC,37,YES
-70.8783610001633,43.1979680003127,143,DOV,"Dover, New Hampshire",Dover,NH,33,YES
-98.4781429997558,29.4193500000756,144,SAS,"San Antonio, Texas",San Antonio,TX,48,YES
-76.5026410003538,40.1089599996867,145,MJY,"Mount Joy, Pennsylvania",Mount Joy,PA,42,YES
-122.511254999597,48.7202629998968,146,BEL,"Bellingham, Washington",Bellingham,WA,53,YES
-83.0723969998503,42.3680970001648,147,DET,"Detroit, Michigan",Detroit,MI,26,YES
-117.415455000355,47.6567200001169,148,SPK,"Spokane, Washington",Spokane,WA,53,YES
-70.6121919996688,43.3208360001244,149,WEM,"Wells, Maine",Wells,ME,23,
-122.099277000298,37.6659969997141,150,HAY,"Hayward, California",Hayward,CA,06,YES
-81.6961720000027,41.5057869996893,151,CLE,"Cleveland, Ohio",Cleveland,OH,39,YES
